customer_id,signup_date,city_tier,preferred_device,preferred_payment,gender
CUST_1001,2025-06-13,3,Tablet,UPI,Male
CUST_1002,2025-01-29,1,Tablet,Credit Card,Female
CUST_1003,2025-01-07,2,Desktop,Debit Card,Non-binary
CUST_1004,2025-03-12,3,Tablet,UPI,Male
CUST_1005,2025-03-04,3,Mobile,Debit Card,Female
CUST_1006,2025-02-27,2,Mobile,Debit Card,Non-binary
CUST_1007,2025-02-05,1,Desktop,Debit Card,Non-binary
CUST_1008,2025-01-27,3,Mobile,Credit Card,Female
CUST_1009,2025-06-23,3,Mobile,Credit Card,Female
CUST_1010,2025-05-20,3,Tablet,Debit Card,Non-binary
CUST_1011,2025-01-23,1,Tablet,Wallet,Non-binary
CUST_1012,2025-06-01,3,Mobile,Credit Card,Female
CUST_1013,2025-04-19,2,Desktop,Wallet,Female
CUST_1014,2025-01-09,2,Desktop,Wallet,Non-binary
CUST_1015,2025-01-08,3,Tablet,Debit Card,Non-binary
CUST_1016,2025-01-24,3,Mobile,Wallet,Female
CUST_1017,2025-02-25,2,Tablet,Wallet,Female
CUST_1018,2025-03-01,2,Desktop,Wallet,Non-binary
CUST_1019,2025-05-10,3,Mobile,Debit Card,Female
CUST_1020,2025-06-04,2,Tablet,Debit Card,Female
CUST_1021,2025-01-07,1,Tablet,Credit Card,Female
CUST_1022,2025-05-24,1,Desktop,Credit Card,Female
CUST_1023,2025-02-20,1,Tablet,Wallet,Male
CUST_1024,2025-06-16,1,Desktop,Debit Card,Male
CUST_1025,2025-06-29,2,Desktop,Debit Card,Non-binary
CUST_1026,2025-05-20,1,Mobile,Wallet,Male
CUST_1027,2025-04-18,3,Mobile,Credit Card,Female
CUST_1028,2025-02-26,3,Tablet,Debit Card,Male
CUST_1029,2025-04-25,1,Desktop,Credit Card,Non-binary
CUST_1030,2025-05-31,3,Desktop,Wallet,Non-binary
CUST_1031,2025-03-13,1,Mobile,Debit Card,Non-binary
CUST_1032,2025-01-02,1,Mobile,Wallet,Male
CUST_1033,2025-02-10,1,Desktop,UPI,Male
CUST_1034,2025-06-28,3,Mobile,Wallet,Male
CUST_1035,2025-04-19,3,Tablet,Wallet,Non-binary
CUST_1036,2025-03-29,1,Desktop,Wallet,Female
CUST_1037,2025-03-13,1,Mobile,Debit Card,Female
CUST_1038,2025-02-09,1,Tablet,Wallet,Non-binary
CUST_1039,2025-02-25,1,Desktop,Wallet,Non-binary
CUST_1040,2025-03-28,2,Tablet,UPI,Non-binary
CUST_1041,2025-01-27,1,Tablet,Debit Card,Non-binary
CUST_1042,2025-01-24,3,Desktop,UPI,Female
CUST_1043,2025-04-08,1,Tablet,Wallet,Male
CUST_1044,2025-01-25,2,Mobile,Debit Card,Male
CUST_1045,2025-04-02,3,Mobile,UPI,Female
CUST_1046,2025-03-30,2,Mobile,Wallet,Male
CUST_1047,2025-06-04,1,Tablet,Credit Card,Female
CUST_1048,2025-03-09,3,Mobile,UPI,Male
CUST_1049,2025-01-12,1,Tablet,Debit Card,Female
CUST_1050,2025-04-28,3,Mobile,UPI,Male
CUST_1051,2025-05-18,3,Desktop,UPI,Non-binary
CUST_1052,2025-02-01,3,Tablet,UPI,Non-binary
CUST_1053,2025-04-07,2,Tablet,Credit Card,Male
CUST_1054,2025-01-21,1,Mobile,Debit Card,Female
CUST_1055,2025-05-22,2,Desktop,Debit Card,Male
CUST_1056,2025-03-17,2,Mobile,Debit Card,Male
CUST_1057,2025-06-10,1,Mobile,Wallet,Non-binary
CUST_1058,2025-06-08,1,Desktop,Debit Card,Female
CUST_1059,2025-04-03,1,Desktop,Debit Card,Non-binary
CUST_1060,2025-05-28,3,Mobile,Credit Card,Male
CUST_1061,2025-02-19,2,Desktop,Wallet,Non-binary
CUST_1062,2025-06-30,2,Mobile,Wallet,Female
CUST_1063,2025-01-18,2,Tablet,UPI,Male
CUST_1064,2025-01-12,2,Mobile,Wallet,Male
CUST_1065,2025-06-19,2,Tablet,Wallet,Non-binary
CUST_1066,2025-02-28,3,Mobile,Credit Card,Female
CUST_1067,2025-03-16,1,Desktop,Debit Card,Female
CUST_1068,2025-01-21,3,Tablet,Wallet,Female
CUST_1069,2025-03-01,3,Desktop,Wallet,Female
CUST_1070,2025-01-26,3,Tablet,Credit Card,Female
CUST_1071,2025-04-08,1,Tablet,Wallet,Male
CUST_1072,2025-03-13,1,Mobile,Wallet,Male
CUST_1073,2025-04-27,2,Mobile,Credit Card,Female
CUST_1074,2025-06-12,3,Mobile,UPI,Female
CUST_1075,2025-04-04,2,Mobile,UPI,Male
CUST_1076,2025-02-11,1,Desktop,Wallet,Male
CUST_1077,2025-04-05,1,Mobile,Wallet,Female
CUST_1078,2025-04-01,1,Mobile,Debit Card,Female
CUST_1079,2025-02-23,1,Tablet,Wallet,Male
CUST_1080,2025-06-21,3,Desktop,Debit Card,Non-binary
CUST_1081,2025-03-10,2,Desktop,UPI,Non-binary
CUST_1082,2025-06-29,1,Tablet,Wallet,Non-binary
CUST_1083,2025-06-24,2,Tablet,Wallet,Male
CUST_1084,2025-06-15,1,Mobile,Credit Card,Male
CUST_1085,2025-01-19,2,Desktop,Wallet,Male
CUST_1086,2025-06-05,2,Mobile,UPI,Non-binary
CUST_1087,2025-06-12,1,Tablet,Wallet,Female
CUST_1088,2025-02-13,1,Mobile,Debit Card,Male
CUST_1089,2025-05-17,2,Desktop,Wallet,Male
CUST_1090,2025-03-04,3,Mobile,Debit Card,Male
CUST_1091,2025-02-11,1,Desktop,Credit Card,Non-binary
CUST_1092,2025-04-29,1,Mobile,Wallet,Female
CUST_1093,2025-04-08,3,Mobile,Credit Card,Non-binary
CUST_1094,2025-03-11,3,Desktop,Credit Card,Non-binary
CUST_1095,2025-06-13,1,Desktop,Wallet,Non-binary
CUST_1096,2025-06-26,1,Desktop,Debit Card,Male
CUST_1097,2025-05-23,1,Mobile,Wallet,Non-binary
CUST_1098,2025-02-26,1,Mobile,Debit Card,Female
CUST_1099,2025-06-25,2,Mobile,Credit Card,Female
