order_id,customer_id,order_date,category,order_value,is_returned,satisfaction_score
ORD_5001,CUST_1163,2025-04-16,Beauty,1163.33,False,4
ORD_5002,CUST_1086,2025-07-17,Sports,138.95,False,4
ORD_5003,CUST_1178,2025-07-22,Home & Kitchen,800.16,False,5
ORD_5004,CUST_1010,2025-07-18,Electronics,387.7,False,4
ORD_5005,CUST_1132,2025-08-21,Electronics,794.33,False,4
ORD_5006,CUST_1014,2025-02-03,Books,443.71,False,4
ORD_5007,CUST_1195,2025-01-25,Apparel,331.46,False,3
ORD_5008,CUST_1113,2025-08-29,Sports,589.38,True,3
ORD_5009,CUST_1156,2025-09-25,Apparel,856.09,False,1
ORD_5010,CUST_1142,2025-03-11,Electronics,281.27,False,1
ORD_5011,CUST_1119,2025-02-21,Sports,1001.09,False,3
ORD_5012,CUST_1131,2025-08-10,Home & Kitchen,507.36,False,4
ORD_5013,CUST_1063,2025-03-18,Books,186.4,False,5
ORD_5014,CUST_1131,2025-08-15,Apparel,1038.87,False,4
ORD_5015,CUST_1088,2025-06-13,Books,331.6,True,3
ORD_5016,CUST_1077,2025-07-22,Books,702.21,False,2
ORD_5017,CUST_1115,2025-08-22,Beauty,423.97,False,5
ORD_5018,CUST_1097,2025-07-21,Home & Kitchen,1045.48,False,2
ORD_5019,CUST_1147,2025-07-05,Apparel,1029.38,False,3
ORD_5020,CUST_1191,2025-07-26,Sports,1097.41,False,2
ORD_5021,CUST_1127,2025-04-18,Apparel,610.22,False,1
ORD_5022,CUST_1113,2025-05-21,Books,1093.87,True,1
ORD_5023,CUST_1105,2025-08-03,Sports,1164.4,True,2
ORD_5024,CUST_1087,2025-08-31,Sports,486.02,True,2
ORD_5025,CUST_1173,2025-09-23,Books,465.31,False,4
ORD_5026,CUST_1139,2025-06-29,Books,96.08,False,3
ORD_5027,CUST_1059,2025-07-08,Electronics,529.26,True,3
ORD_5028,CUST_1181,2025-09-23,Electronics,540.76,False,1
ORD_5029,CUST_1012,2025-07-13,Electronics,362.64,False,2
ORD_5030,CUST_1063,2025-03-27,Beauty,685.62,False,2
ORD_5031,CUST_1045,2025-04-13,Books,1046.94,False,2
ORD_5032,CUST_1128,2025-07-29,Books,184.59,False,3
ORD_5033,CUST_1118,2025-04-11,Sports,26.14,False,3
ORD_5034,CUST_1174,2025-05-01,Apparel,102.53,False,5
ORD_5035,CUST_1077,2025-06-26,Beauty,833.02,False,3
ORD_5036,CUST_1051,2025-07-07,Beauty,141.38,False,3
ORD_5037,CUST_1148,2025-04-13,Sports,364.85,False,4
ORD_5038,CUST_1071,2025-04-10,Books,1040.1,False,1
ORD_5039,CUST_1156,2025-09-18,Beauty,1001.91,False,2
ORD_5040,CUST_1156,2025-09-25,Home & Kitchen,274.52,False,3
ORD_5041,CUST_1174,2025-05-28,Sports,924.45,False,2
ORD_5042,CUST_1161,2025-02-23,Sports,780.91,False,4
ORD_5043,CUST_1009,2025-09-06,Home & Kitchen,882.85,True,2
ORD_5044,CUST_1084,2025-09-19,Beauty,223.13,False,5
ORD_5045,CUST_1094,2025-05-18,Books,1097.48,False,3
ORD_5046,CUST_1124,2025-09-11,Home & Kitchen,899.67,False,1
ORD_5047,CUST_1120,2025-03-15,Apparel,908.67,False,4
ORD_5048,CUST_1143,2025-05-26,Electronics,951.96,True,3
ORD_5049,CUST_1032,2025-03-02,Home & Kitchen,812.3,False,5
ORD_5050,CUST_1098,2025-06-12,Sports,1129.25,True,1
ORD_5051,CUST_1121,2025-05-28,Books,1062.82,False,5
ORD_5052,CUST_1057,2025-09-01,Electronics,767.95,False,3
ORD_5053,CUST_1167,2025-07-02,Electronics,180.64,False,3
ORD_5054,CUST_1127,2025-04-28,Electronics,293.24,False,4
ORD_5055,CUST_1117,2025-03-26,Sports,1140.02,False,5
ORD_5056,CUST_1108,2025-05-11,Sports,876.02,False,1
ORD_5057,CUST_1126,2025-08-17,Beauty,1127.78,False,3
ORD_5058,CUST_1056,2025-05-13,Beauty,1141.41,False,1
ORD_5059,CUST_1176,2025-05-24,Books,1083.51,False,1
ORD_5060,CUST_1102,2025-04-05,Apparel,1162.33,False,4
ORD_5061,CUST_1024,2025-09-09,Apparel,775.42,False,1
ORD_5062,CUST_1013,2025-07-29,Home & Kitchen,303.63,False,5
ORD_5063,CUST_1053,2025-04-16,Books,260.48,False,2
ORD_5064,CUST_1085,2025-04-29,Apparel,949.54,False,3
ORD_5065,CUST_1038,2025-02-26,Books,312.03,False,1
ORD_5066,CUST_1034,2025-06-30,Home & Kitchen,951.13,False,3
ORD_5067,CUST_1005,2025-03-27,Home & Kitchen,77.09,False,5
ORD_5068,CUST_1030,2025-09-04,Electronics,579.35,False,5
ORD_5069,CUST_1152,2025-02-13,Beauty,612.05,False,1
ORD_5070,CUST_1187,2025-06-29,Sports,632.92,False,1
ORD_5071,CUST_1016,2025-03-27,Beauty,520.13,True,3
ORD_5072,CUST_1114,2025-04-22,Electronics,396.7,False,2
ORD_5073,CUST_1071,2025-06-27,Sports,708.66,False,4
ORD_5074,CUST_1153,2025-08-31,Home & Kitchen,552.65,False,1
ORD_5075,CUST_1180,2025-01-16,Sports,786.34,False,2
ORD_5076,CUST_1111,2025-04-23,Apparel,505.37,False,4
ORD_5077,CUST_1107,2025-04-21,Electronics,385.37,False,3
ORD_5078,CUST_1096,2025-07-16,Sports,1108.74,True,1
ORD_5079,CUST_1024,2025-08-11,Electronics,897.34,False,2
ORD_5080,CUST_1143,2025-04-17,Books,1148.6,False,1
ORD_5081,CUST_1106,2025-04-25,Sports,1130.24,False,1
ORD_5082,CUST_1074,2025-08-28,Home & Kitchen,431.7,False,2
ORD_5083,CUST_1040,2025-06-21,Beauty,280.73,True,3
ORD_5084,CUST_1095,2025-06-28,Home & Kitchen,695.31,False,5
ORD_5085,CUST_1197,2025-05-18,Books,742.08,False,1
ORD_5086,CUST_1156,2025-10-11,Sports,997.91,False,2
ORD_5087,CUST_1070,2025-04-26,Home & Kitchen,1107.02,False,2
ORD_5088,CUST_1037,2025-05-25,Sports,489.93,False,1
ORD_5089,CUST_1024,2025-09-20,Books,269.93,False,3
ORD_5090,CUST_1041,2025-03-16,Home & Kitchen,870.09,False,5
ORD_5091,CUST_1153,2025-07-05,Electronics,199.36,False,1
ORD_5092,CUST_1173,2025-06-16,Home & Kitchen,540.09,False,5
ORD_5093,CUST_1114,2025-06-05,Home & Kitchen,270.45,False,3
ORD_5094,CUST_1111,2025-03-11,Home & Kitchen,818.69,False,5
ORD_5095,CUST_1171,2025-07-23,Electronics,276.31,False,1
ORD_5096,CUST_1002,2025-02-25,Home & Kitchen,1135.21,False,3
ORD_5097,CUST_1075,2025-05-16,Electronics,24.16,False,2
ORD_5098,CUST_1034,2025-08-16,Books,848.85,False,3
ORD_5099,CUST_1019,2025-06-30,Sports,65.13,True,1
ORD_5100,CUST_1081,2025-05-23,Beauty,694.48,False,4
ORD_5101,CUST_1075,2025-04-19,Beauty,39.72,False,5
ORD_5102,CUST_1118,2025-06-24,Sports,1104.93,True,1
ORD_5103,CUST_1063,2025-03-15,Books,489.53,True,2
ORD_5104,CUST_1191,2025-07-09,Apparel,409.69,False,5
ORD_5105,CUST_1163,2025-01-16,Books,619.29,False,3
ORD_5106,CUST_1090,2025-06-06,Sports,980.82,False,2
ORD_5107,CUST_1066,2025-03-26,Apparel,728.84,False,1
ORD_5108,CUST_1046,2025-07-07,Sports,600.53,False,5
ORD_5109,CUST_1115,2025-09-10,Books,776.95,False,3
ORD_5110,CUST_1161,2025-03-23,Apparel,536.12,False,3
ORD_5111,CUST_1071,2025-06-23,Electronics,432.05,True,2
ORD_5112,CUST_1116,2025-05-03,Electronics,451.95,False,1
ORD_5113,CUST_1158,2025-04-16,Books,470.61,False,1
ORD_5114,CUST_1116,2025-08-23,Books,787.43,False,4
ORD_5115,CUST_1129,2025-03-18,Electronics,548.87,False,3
ORD_5116,CUST_1183,2025-05-17,Books,780.66,True,3
ORD_5117,CUST_1113,2025-07-04,Books,634.46,False,3
ORD_5118,CUST_1073,2025-06-16,Beauty,932.74,False,1
ORD_5119,CUST_1162,2025-07-19,Home & Kitchen,93.11,True,3
ORD_5120,CUST_1099,2025-08-01,Home & Kitchen,872.62,False,5
ORD_5121,CUST_1039,2025-04-09,Electronics,705.55,False,3
ORD_5122,CUST_1080,2025-09-13,Sports,799.63,False,1
ORD_5123,CUST_1080,2025-09-01,Beauty,777.54,False,2
ORD_5124,CUST_1172,2025-08-08,Sports,1196.64,False,1
ORD_5125,CUST_1166,2025-05-12,Beauty,617.56,True,2
ORD_5126,CUST_1047,2025-07-02,Home & Kitchen,1137.99,False,2
ORD_5127,CUST_1036,2025-04-18,Electronics,365.51,False,5
ORD_5128,CUST_1198,2025-04-13,Sports,1062.16,True,2
ORD_5129,CUST_1197,2025-04-23,Apparel,722.74,False,2
ORD_5130,CUST_1178,2025-08-26,Books,973.72,False,4
ORD_5131,CUST_1012,2025-07-24,Home & Kitchen,816.49,False,4
ORD_5132,CUST_1157,2025-05-05,Sports,943.8,False,2
ORD_5133,CUST_1080,2025-10-03,Beauty,1086.21,False,5
ORD_5134,CUST_1113,2025-07-07,Home & Kitchen,937.08,False,4
ORD_5135,CUST_1042,2025-05-09,Apparel,964.49,False,3
ORD_5136,CUST_1014,2025-04-02,Beauty,1050.83,False,1
ORD_5137,CUST_1183,2025-08-23,Books,1023.63,False,2
ORD_5138,CUST_1070,2025-03-25,Books,189.61,False,2
ORD_5139,CUST_1116,2025-08-20,Home & Kitchen,1117.61,False,4
ORD_5140,CUST_1129,2025-04-15,Apparel,472.61,True,1
ORD_5141,CUST_1008,2025-03-09,Electronics,1009.42,False,2
ORD_5142,CUST_1036,2025-04-03,Home & Kitchen,1102.11,False,2
ORD_5143,CUST_1195,2025-04-19,Beauty,546.59,True,1
ORD_5144,CUST_1005,2025-04-06,Apparel,1004.43,False,5
ORD_5145,CUST_1136,2025-04-05,Electronics,934.76,False,1
ORD_5146,CUST_1013,2025-05-20,Beauty,772.16,False,1
ORD_5147,CUST_1029,2025-08-11,Beauty,722.14,True,3
ORD_5148,CUST_1148,2025-04-06,Sports,185.14,False,5
ORD_5149,CUST_1091,2025-03-14,Books,508.63,False,1
ORD_5150,CUST_1135,2025-03-17,Electronics,1144.78,False,5
ORD_5151,CUST_1142,2025-01-20,Beauty,1049.9,True,2
ORD_5152,CUST_1096,2025-07-29,Sports,34.25,False,3
ORD_5153,CUST_1062,2025-10-02,Sports,759.48,False,3
ORD_5154,CUST_1035,2025-04-25,Home & Kitchen,662.03,False,2
ORD_5155,CUST_1200,2025-07-29,Beauty,1177.27,False,2
ORD_5156,CUST_1035,2025-04-28,Sports,934.79,False,3
ORD_5157,CUST_1052,2025-02-07,Apparel,1064.66,False,3
ORD_5158,CUST_1132,2025-06-27,Books,575.98,True,3
ORD_5159,CUST_1049,2025-02-18,Home & Kitchen,1036.63,True,3
ORD_5160,CUST_1085,2025-02-23,Electronics,962.22,False,4
ORD_5161,CUST_1191,2025-07-22,Beauty,416.76,False,4
ORD_5162,CUST_1095,2025-10-10,Books,331.06,True,2
ORD_5163,CUST_1021,2025-03-04,Books,1194.19,False,3
ORD_5164,CUST_1083,2025-07-08,Electronics,403.59,False,4
ORD_5165,CUST_1155,2025-06-10,Beauty,212.47,False,4
ORD_5166,CUST_1011,2025-04-27,Home & Kitchen,743.6,False,1
ORD_5167,CUST_1020,2025-08-29,Sports,496.36,False,2
ORD_5168,CUST_1008,2025-02-15,Books,818.54,False,2
ORD_5169,CUST_1018,2025-04-01,Sports,449.1,False,5
ORD_5170,CUST_1009,2025-09-09,Apparel,819.69,False,3
ORD_5171,CUST_1114,2025-07-19,Electronics,695.1,False,4
ORD_5172,CUST_1081,2025-06-02,Home & Kitchen,310.79,True,3
ORD_5173,CUST_1048,2025-05-12,Books,473.58,False,3
ORD_5174,CUST_1199,2025-07-22,Sports,543.83,False,3
ORD_5175,CUST_1178,2025-09-14,Beauty,252.21,False,1
ORD_5176,CUST_1116,2025-05-21,Sports,542.46,True,3
ORD_5177,CUST_1082,2025-09-23,Home & Kitchen,855.81,False,3
ORD_5178,CUST_1077,2025-07-23,Apparel,858.49,False,2
ORD_5179,CUST_1093,2025-06-13,Apparel,158.81,False,2
ORD_5180,CUST_1061,2025-06-01,Beauty,46.15,False,3
ORD_5181,CUST_1120,2025-06-16,Books,168.78,False,1
ORD_5182,CUST_1080,2025-08-11,Sports,866.86,False,4
ORD_5183,CUST_1148,2025-03-16,Apparel,1167.27,False,4
ORD_5184,CUST_1120,2025-06-01,Books,423.25,False,5
ORD_5185,CUST_1164,2025-05-24,Apparel,924.82,False,5
ORD_5186,CUST_1015,2025-04-25,Electronics,628.95,False,2
ORD_5187,CUST_1083,2025-10-22,Sports,282.18,False,5
ORD_5188,CUST_1073,2025-08-14,Electronics,311.97,False,5
ORD_5189,CUST_1071,2025-04-25,Sports,373.85,False,5
ORD_5190,CUST_1165,2025-05-31,Books,1130.8,False,5
ORD_5191,CUST_1185,2025-05-25,Books,415.08,False,1
ORD_5192,CUST_1008,2025-02-07,Electronics,1139.03,False,3
ORD_5193,CUST_1167,2025-06-06,Books,508.66,False,4
ORD_5194,CUST_1161,2025-04-21,Home & Kitchen,775.66,False,2
ORD_5195,CUST_1176,2025-05-28,Home & Kitchen,552.45,False,2
ORD_5196,CUST_1113,2025-07-01,Beauty,565.36,False,2
ORD_5197,CUST_1081,2025-06-29,Sports,393.39,False,3
ORD_5198,CUST_1103,2025-01-26,Home & Kitchen,625.25,True,1
ORD_5199,CUST_1120,2025-03-21,Home & Kitchen,547.77,False,1
ORD_5200,CUST_1075,2025-05-24,Books,510.49,False,2
ORD_5201,CUST_1084,2025-10-13,Books,869.54,False,2
ORD_5202,CUST_1128,2025-06-08,Beauty,606.03,False,1
ORD_5203,CUST_1024,2025-08-06,Books,556.82,False,5
ORD_5204,CUST_1091,2025-02-18,Electronics,348.41,False,4
ORD_5205,CUST_1074,2025-08-20,Electronics,1018.9,False,3
ORD_5206,CUST_1187,2025-05-06,Beauty,448.64,False,5
ORD_5207,CUST_1144,2025-05-03,Home & Kitchen,670.57,True,3
ORD_5208,CUST_1116,2025-08-04,Books,346.47,False,5
ORD_5209,CUST_1031,2025-03-30,Electronics,481.78,False,3
ORD_5210,CUST_1143,2025-05-26,Apparel,250.88,False,5
ORD_5211,CUST_1011,2025-01-29,Electronics,177.39,False,4
ORD_5212,CUST_1133,2025-03-24,Apparel,733.42,False,3
ORD_5213,CUST_1157,2025-05-09,Apparel,480.65,False,3
ORD_5214,CUST_1152,2025-03-15,Books,996.52,False,5
ORD_5215,CUST_1077,2025-06-05,Electronics,451.5,False,4
ORD_5216,CUST_1150,2025-02-12,Sports,1048.44,False,5
ORD_5217,CUST_1122,2025-06-21,Sports,942.74,False,5
ORD_5218,CUST_1059,2025-07-05,Electronics,706.48,False,5
ORD_5219,CUST_1199,2025-10-04,Beauty,190.11,False,1
ORD_5220,CUST_1147,2025-08-14,Electronics,241.08,False,4
ORD_5221,CUST_1039,2025-04-19,Sports,256.61,False,5
ORD_5222,CUST_1121,2025-09-13,Sports,876.97,False,5
ORD_5223,CUST_1054,2025-04-03,Home & Kitchen,1197.78,False,4
ORD_5224,CUST_1081,2025-04-02,Beauty,1095.87,False,3
ORD_5225,CUST_1174,2025-05-30,Sports,821.68,False,3
ORD_5226,CUST_1157,2025-05-30,Apparel,1149.44,False,3
ORD_5227,CUST_1058,2025-07-17,Home & Kitchen,850.31,False,4
ORD_5228,CUST_1082,2025-08-30,Home & Kitchen,679.18,False,3
ORD_5229,CUST_1074,2025-06-28,Books,816.8,False,4
ORD_5230,CUST_1089,2025-08-24,Apparel,359.19,False,1
ORD_5231,CUST_1089,2025-09-13,Beauty,792.33,False,2
ORD_5232,CUST_1052,2025-05-18,Books,336.29,False,3
ORD_5233,CUST_1036,2025-04-12,Books,892.96,False,1
ORD_5234,CUST_1172,2025-09-03,Books,282.42,False,1
ORD_5235,CUST_1106,2025-04-22,Sports,574.8,False,2
ORD_5236,CUST_1002,2025-04-10,Apparel,497.19,False,4
ORD_5237,CUST_1123,2025-06-01,Apparel,910.75,False,3
ORD_5238,CUST_1166,2025-02-23,Electronics,787.97,False,1
