cart_id,session_id,customer_id,created_at,last_updated,cart_value,item_count,status
cart_0002,sess_0002,cust_102,2026-07-01 03:24:40+00:00,2026-07-01 03:37:09+00:00,57.08,3,converted
cart_0006,sess_0006,cust_118,2026-07-03 08:28:32+00:00,2026-07-03 08:37:30+00:00,55.21,1,abandoned
cart_0007,sess_0007,cust_124,2026-07-09 23:18:06+00:00,2026-07-09 23:21:08+00:00,31.06,2,recovered
cart_0008,sess_0008,cust_125,2026-07-29 23:24:19+00:00,2026-07-29 23:31:32+00:00,59.82,2,abandoned
cart_0010,sess_0010,cust_150,2026-07-22 15:22:13+00:00,2026-07-22 15:34:32+00:00,55.82,1,abandoned
cart_0011,sess_0011,cust_107,2026-07-10 15:49:45+00:00,2026-07-10 15:58:34+00:00,67.23,1,abandoned
cart_0012,sess_0012,cust_123,2026-07-25 05:52:54+00:00,2026-07-25 06:04:34+00:00,67.72,2,converted
cart_0013,sess_0013,,2026-07-25 19:23:42+00:00,2026-07-25 19:34:48+00:00,40.39,3,abandoned
cart_0016,sess_0016,cust_114,2026-07-03 01:08:37+00:00,2026-07-03 01:15:27+00:00,22.94,3,abandoned
cart_0018,sess_0018,cust_129,2026-07-28 01:58:20+00:00,2026-07-28 02:06:44+00:00,47.18,1,abandoned
cart_0019,sess_0019,,2026-07-03 16:08:02+00:00,2026-07-03 16:16:33+00:00,44.14,2,converted
cart_0020,sess_0020,,2026-07-26 16:33:58+00:00,2026-07-26 16:48:16+00:00,73.12,1,converted
cart_0021,sess_0021,cust_132,2026-07-03 06:45:56+00:00,2026-07-03 06:51:48+00:00,17.38,3,active
cart_0022,sess_0022,cust_136,2026-07-17 11:31:07+00:00,2026-07-17 11:40:55+00:00,53.73,3,recovered
cart_0023,sess_0023,cust_136,2026-07-04 02:40:02+00:00,2026-07-04 02:45:58+00:00,32.1,2,abandoned
cart_0025,sess_0025,cust_106,2026-07-24 20:08:32+00:00,2026-07-24 20:20:55+00:00,53.05,3,converted
cart_0026,sess_0026,cust_121,2026-07-25 04:45:46+00:00,2026-07-25 04:56:20+00:00,21.71,1,abandoned
cart_0027,sess_0027,cust_108,2026-07-02 11:13:24+00:00,2026-07-02 11:16:43+00:00,68.05,3,abandoned
cart_0029,sess_0029,,2026-07-26 14:59:24+00:00,2026-07-26 15:00:58+00:00,26.97,1,abandoned
cart_0030,sess_0030,cust_150,2026-07-28 08:17:11+00:00,2026-07-28 08:23:17+00:00,36.07,2,abandoned
cart_0031,sess_0031,cust_134,2026-07-11 01:00:17+00:00,2026-07-11 01:14:35+00:00,35.74,2,converted
cart_0032,sess_0032,cust_127,2026-07-01 18:55:46+00:00,2026-07-01 19:03:26+00:00,54.8,2,abandoned
cart_0033,sess_0033,cust_125,2026-07-23 10:45:52+00:00,2026-07-23 10:58:30+00:00,33.06,3,abandoned
cart_0034,sess_0034,,2026-07-20 23:50:13+00:00,2026-07-21 00:02:00+00:00,54.53,1,recovered
cart_0035,sess_0035,cust_112,2026-07-05 00:53:21+00:00,2026-07-05 01:06:15+00:00,26.67,3,converted
cart_0037,sess_0037,,2026-07-04 16:37:09+00:00,2026-07-04 16:55:46+00:00,51.76,2,converted
cart_0038,sess_0038,cust_115,2026-07-27 23:12:59+00:00,2026-07-27 23:16:18+00:00,29.07,2,abandoned
cart_0039,sess_0039,,2026-07-03 05:02:16+00:00,2026-07-03 05:07:57+00:00,47.56,2,abandoned
cart_0040,sess_0040,cust_126,2026-07-13 21:15:56+00:00,2026-07-13 21:31:53+00:00,66.21,2,recovered
cart_0041,sess_0041,cust_131,2026-07-01 14:09:28+00:00,2026-07-01 14:18:20+00:00,50.51,2,abandoned
cart_0042,sess_0042,cust_127,2026-07-05 16:48:35+00:00,2026-07-05 17:02:43+00:00,60.67,2,recovered
cart_0046,sess_0046,cust_101,2026-07-30 11:21:28+00:00,2026-07-30 11:24:30+00:00,61.35,3,abandoned
cart_0047,sess_0047,cust_107,2026-07-26 20:36:17+00:00,2026-07-26 20:48:54+00:00,15.76,2,recovered
cart_0048,sess_0048,cust_146,2026-07-17 23:40:56+00:00,2026-07-17 23:52:25+00:00,64.84,1,abandoned
cart_0049,sess_0049,cust_142,2026-07-13 12:14:52+00:00,2026-07-13 12:22:22+00:00,31.78,2,abandoned
cart_0050,sess_0050,,2026-07-18 00:22:10+00:00,2026-07-18 00:30:42+00:00,56.44,1,abandoned
cart_0051,sess_0051,cust_150,2026-07-01 03:23:16+00:00,2026-07-01 03:29:20+00:00,46.86,3,abandoned
cart_0052,sess_0052,,2026-07-11 12:48:32+00:00,2026-07-11 12:56:45+00:00,33.93,1,abandoned
cart_0053,sess_0053,cust_147,2026-07-16 10:04:01+00:00,2026-07-16 10:18:21+00:00,36.65,1,converted
cart_0054,sess_0054,cust_108,2026-07-21 17:52:20+00:00,2026-07-21 18:02:44+00:00,72.93,1,abandoned
cart_0055,sess_0055,cust_131,2026-07-03 21:00:31+00:00,2026-07-03 21:06:22+00:00,48.48,1,abandoned
cart_0056,sess_0056,cust_139,2026-07-08 19:01:34+00:00,2026-07-08 19:07:59+00:00,20.95,3,abandoned
cart_0058,sess_0058,cust_130,2026-07-10 01:11:18+00:00,2026-07-10 01:19:20+00:00,50.39,3,abandoned
cart_0059,sess_0059,cust_109,2026-07-30 09:40:16+00:00,2026-07-30 09:45:40+00:00,43.12,1,abandoned
cart_0060,sess_0060,cust_117,2026-07-17 19:39:36+00:00,2026-07-17 19:47:55+00:00,16.55,2,converted
cart_0061,sess_0061,cust_141,2026-07-15 10:07:38+00:00,2026-07-15 10:15:43+00:00,34.26,2,abandoned
cart_0062,sess_0062,cust_125,2026-07-27 20:01:42+00:00,2026-07-27 20:05:20+00:00,66.89,2,recovered
cart_0063,sess_0063,cust_133,2026-07-12 22:40:09+00:00,2026-07-12 22:43:52+00:00,67.85,2,abandoned
cart_0064,sess_0064,cust_140,2026-07-20 08:42:45+00:00,2026-07-20 08:50:26+00:00,74.54,1,converted
cart_0065,sess_0065,cust_130,2026-07-16 08:52:26+00:00,2026-07-16 09:04:56+00:00,66.84,1,recovered
