event_id,session_id,event_type,event_at,product_id,cart_value
1,sess_0001,view_product,2026-07-24 10:05:37+00:00,prod_1006,
2,sess_0002,view_product,2026-07-01 03:25:03+00:00,prod_1036,
3,sess_0002,add_to_cart,2026-07-01 03:26:54+00:00,prod_1046,57.08
4,sess_0002,begin_checkout,2026-07-01 03:30:38+00:00,,57.08
5,sess_0002,add_payment_info,2026-07-01 03:34:37+00:00,,57.08
6,sess_0002,purchase_complete,2026-07-01 03:37:09+00:00,,57.08
7,sess_0003,view_product,2026-07-07 12:18:31+00:00,prod_1023,
8,sess_0004,view_product,2026-07-24 16:48:29+00:00,prod_1019,
9,sess_0005,view_product,2026-07-20 13:10:33+00:00,prod_1043,
10,sess_0006,view_product,2026-07-03 08:31:48+00:00,prod_1011,
11,sess_0006,add_to_cart,2026-07-03 08:35:07+00:00,prod_1023,55.21
12,sess_0006,begin_checkout,2026-07-03 08:35:53+00:00,,55.21
13,sess_0006,add_payment_info,2026-07-03 08:37:30+00:00,,55.21
14,sess_0007,view_product,2026-07-09 23:18:44+00:00,prod_1015,
15,sess_0007,add_to_cart,2026-07-09 23:19:10+00:00,prod_1021,31.06
16,sess_0007,begin_checkout,2026-07-09 23:21:08+00:00,,31.06
17,sess_0008,view_product,2026-07-29 23:26:35+00:00,prod_1048,
18,sess_0008,add_to_cart,2026-07-29 23:31:32+00:00,prod_1035,59.82
19,sess_0009,view_product,2026-07-08 05:03:17+00:00,prod_1010,
20,sess_0010,view_product,2026-07-22 15:26:22+00:00,prod_1034,
21,sess_0010,add_to_cart,2026-07-22 15:28:40+00:00,prod_1036,55.82
22,sess_0010,begin_checkout,2026-07-22 15:29:48+00:00,,55.82
23,sess_0010,add_payment_info,2026-07-22 15:34:32+00:00,,55.82
24,sess_0011,view_product,2026-07-10 15:54:11+00:00,prod_1049,
25,sess_0011,add_to_cart,2026-07-10 15:55:52+00:00,prod_1033,67.23
26,sess_0011,begin_checkout,2026-07-10 15:58:34+00:00,,67.23
27,sess_0012,view_product,2026-07-25 05:55:49+00:00,prod_1032,
28,sess_0012,add_to_cart,2026-07-25 05:56:08+00:00,prod_1008,67.72
29,sess_0012,begin_checkout,2026-07-25 05:58:55+00:00,,67.72
30,sess_0012,add_payment_info,2026-07-25 05:59:34+00:00,,67.72
31,sess_0012,purchase_complete,2026-07-25 06:04:34+00:00,,67.72
32,sess_0013,view_product,2026-07-25 19:28:33+00:00,prod_1011,
33,sess_0013,add_to_cart,2026-07-25 19:30:58+00:00,prod_1034,40.39
34,sess_0013,begin_checkout,2026-07-25 19:32:56+00:00,,40.39
35,sess_0013,add_payment_info,2026-07-25 19:34:48+00:00,,40.39
36,sess_0014,view_product,2026-07-21 13:38:00+00:00,prod_1015,
37,sess_0015,view_product,2026-07-19 20:10:49+00:00,prod_1046,
38,sess_0016,view_product,2026-07-03 01:11:09+00:00,prod_1043,
39,sess_0016,add_to_cart,2026-07-03 01:15:27+00:00,prod_1014,22.94
40,sess_0017,view_product,2026-07-08 17:17:03+00:00,prod_1023,
41,sess_0018,view_product,2026-07-28 02:01:23+00:00,prod_1007,
42,sess_0018,add_to_cart,2026-07-28 02:03:40+00:00,prod_1013,47.18
43,sess_0018,begin_checkout,2026-07-28 02:05:01+00:00,,47.18
44,sess_0018,add_payment_info,2026-07-28 02:06:44+00:00,,47.18
45,sess_0019,view_product,2026-07-03 16:08:19+00:00,prod_1006,
46,sess_0019,add_to_cart,2026-07-03 16:10:30+00:00,prod_1011,44.14
47,sess_0019,begin_checkout,2026-07-03 16:12:29+00:00,,44.14
48,sess_0019,add_payment_info,2026-07-03 16:13:09+00:00,,44.14
49,sess_0019,purchase_complete,2026-07-03 16:16:33+00:00,,44.14
50,sess_0020,view_product,2026-07-26 16:38:17+00:00,prod_1010,
51,sess_0020,add_to_cart,2026-07-26 16:40:04+00:00,prod_1019,73.12
52,sess_0020,begin_checkout,2026-07-26 16:44:51+00:00,,73.12
53,sess_0020,add_payment_info,2026-07-26 16:47:41+00:00,,73.12
54,sess_0020,purchase_complete,2026-07-26 16:48:16+00:00,,73.12
55,sess_0021,view_product,2026-07-03 06:49:32+00:00,prod_1008,
56,sess_0021,add_to_cart,2026-07-03 06:51:48+00:00,prod_1038,17.38
57,sess_0022,view_product,2026-07-17 11:33:19+00:00,prod_1017,
58,sess_0022,add_to_cart,2026-07-17 11:36:51+00:00,prod_1009,53.73
59,sess_0022,begin_checkout,2026-07-17 11:40:55+00:00,,53.73
60,sess_0023,view_product,2026-07-04 02:41:19+00:00,prod_1023,
61,sess_0023,add_to_cart,2026-07-04 02:42:04+00:00,prod_1016,32.1
62,sess_0023,begin_checkout,2026-07-04 02:45:58+00:00,,32.1
63,sess_0024,view_product,2026-07-17 00:18:23+00:00,prod_1017,
64,sess_0025,view_product,2026-07-24 20:10:29+00:00,prod_1046,
65,sess_0025,add_to_cart,2026-07-24 20:13:34+00:00,prod_1014,53.05
66,sess_0025,begin_checkout,2026-07-24 20:15:59+00:00,,53.05
67,sess_0025,add_payment_info,2026-07-24 20:20:19+00:00,,53.05
68,sess_0025,purchase_complete,2026-07-24 20:20:55+00:00,,53.05
69,sess_0026,view_product,2026-07-25 04:50:38+00:00,prod_1046,
70,sess_0026,add_to_cart,2026-07-25 04:54:26+00:00,prod_1036,21.71
71,sess_0026,begin_checkout,2026-07-25 04:55:52+00:00,,21.71
72,sess_0026,add_payment_info,2026-07-25 04:56:20+00:00,,21.71
73,sess_0027,view_product,2026-07-02 11:15:41+00:00,prod_1043,
74,sess_0027,add_to_cart,2026-07-02 11:16:43+00:00,prod_1023,68.05
75,sess_0028,view_product,2026-07-30 08:38:50+00:00,prod_1048,
76,sess_0029,view_product,2026-07-26 15:00:29+00:00,prod_1025,
77,sess_0029,add_to_cart,2026-07-26 15:00:58+00:00,prod_1031,26.97
78,sess_0030,view_product,2026-07-28 08:20:45+00:00,prod_1022,
79,sess_0030,add_to_cart,2026-07-28 08:23:17+00:00,prod_1005,36.07
80,sess_0031,view_product,2026-07-11 01:02:42+00:00,prod_1003,
81,sess_0031,add_to_cart,2026-07-11 01:03:47+00:00,prod_1039,35.74
82,sess_0031,begin_checkout,2026-07-11 01:06:37+00:00,,35.74
83,sess_0031,add_payment_info,2026-07-11 01:11:08+00:00,,35.74
84,sess_0031,purchase_complete,2026-07-11 01:14:35+00:00,,35.74
85,sess_0032,view_product,2026-07-01 18:56:31+00:00,prod_1043,
86,sess_0032,add_to_cart,2026-07-01 18:59:30+00:00,prod_1040,54.8
87,sess_0032,begin_checkout,2026-07-01 19:00:43+00:00,,54.8
88,sess_0032,add_payment_info,2026-07-01 19:03:26+00:00,,54.8
89,sess_0033,view_product,2026-07-23 10:49:16+00:00,prod_1044,
90,sess_0033,add_to_cart,2026-07-23 10:50:55+00:00,prod_1040,33.06
91,sess_0033,begin_checkout,2026-07-23 10:55:45+00:00,,33.06
92,sess_0033,add_payment_info,2026-07-23 10:58:30+00:00,,33.06
93,sess_0034,view_product,2026-07-20 23:52:12+00:00,prod_1033,
94,sess_0034,add_to_cart,2026-07-20 23:56:24+00:00,prod_1048,54.53
95,sess_0034,begin_checkout,2026-07-20 23:58:59+00:00,,54.53
96,sess_0034,add_payment_info,2026-07-21 00:02:00+00:00,,54.53
97,sess_0035,view_product,2026-07-05 00:54:08+00:00,prod_1030,
98,sess_0035,add_to_cart,2026-07-05 00:57:50+00:00,prod_1041,26.67
99,sess_0035,begin_checkout,2026-07-05 01:01:16+00:00,,26.67
100,sess_0035,add_payment_info,2026-07-05 01:04:50+00:00,,26.67
101,sess_0035,purchase_complete,2026-07-05 01:06:15+00:00,,26.67
102,sess_0036,view_product,2026-07-08 06:29:08+00:00,prod_1016,
