order_id,cart_id,customer_id,session_id,order_date,order_value,payment_method,discount_code
ord_0001,cart_0002,cust_102,sess_0002,2026-07-01,51.37,google_pay,WELCOME10
ord_0002,cart_0007,cust_124,sess_0007,2026-07-09,24.85,paypal,SUMMER20
ord_0003,cart_0012,cust_123,sess_0012,2026-07-25,67.72,google_pay,
ord_0004,cart_0019,,sess_0019,2026-07-03,44.14,apple_pay,FREESHIP
ord_0005,cart_0020,,sess_0020,2026-07-26,73.12,paypal,FREESHIP
ord_0006,cart_0022,cust_136,sess_0022,2026-07-17,53.73,credit_card,
ord_0007,cart_0025,cust_106,sess_0025,2026-07-24,53.05,apple_pay,FREESHIP
ord_0008,cart_0031,cust_134,sess_0031,2026-07-11,32.17,apple_pay,WELCOME10
ord_0009,cart_0034,,sess_0034,2026-07-21,49.08,apple_pay,WELCOME10
ord_0010,cart_0035,cust_112,sess_0035,2026-07-05,26.67,credit_card,
ord_0011,cart_0037,,sess_0037,2026-07-04,51.76,google_pay,FREESHIP
ord_0012,cart_0040,cust_126,sess_0040,2026-07-13,66.21,paypal,FREESHIP
ord_0013,cart_0042,cust_127,sess_0042,2026-07-05,60.67,credit_card,FREESHIP
ord_0014,cart_0047,cust_107,sess_0047,2026-07-26,15.76,paypal,FREESHIP
ord_0015,cart_0053,cust_147,sess_0053,2026-07-16,36.65,apple_pay,
ord_0016,cart_0060,cust_117,sess_0060,2026-07-17,16.55,paypal,
ord_0017,cart_0062,cust_125,sess_0062,2026-07-27,66.89,google_pay,FREESHIP
ord_0018,cart_0064,cust_140,sess_0064,2026-07-20,59.63,apple_pay,SUMMER20
ord_0019,cart_0065,cust_130,sess_0065,2026-07-16,53.47,credit_card,SUMMER20
ord_0020,cart_0066,cust_119,sess_0066,2026-07-27,54.69,google_pay,WELCOME10
ord_0021,cart_0072,,sess_0072,2026-07-05,19.58,google_pay,SUMMER20
ord_0022,cart_0087,cust_149,sess_0087,2026-07-12,46.29,credit_card,FREESHIP
ord_0023,cart_0089,cust_137,sess_0089,2026-07-18,21.86,google_pay,FREESHIP
ord_0024,cart_0092,cust_147,sess_0092,2026-07-24,39.65,paypal,
ord_0025,cart_0094,cust_127,sess_0094,2026-07-28,31.4,credit_card,FREESHIP
ord_0026,cart_0099,,sess_0099,2026-07-14,40.06,apple_pay,FREESHIP
